2019-Oct-08 10:50:05,50566827
2019-Oct-08 10:50:11,50566828
2019-Oct-08 10:50:17,50566830
2019-Oct-08 10:50:22,50566831
2019-Oct-08 10:50:38,50566835
2019-Oct-08 10:50:43,50566837
2019-Oct-08 10:50:50,50566838
2019-Oct-08 10:51:10,50566844
2019-Oct-08 10:51:28,50566848
2019-Oct-08 10:51:40,50566852
2019-Oct-08 10:52:28,50566864
2019-Oct-08 10:52:44,50566869
2019-Oct-08 10:52:53,50566871
2019-Oct-08 10:53:12,50566876
2019-Oct-08 10:53:18,50566877
2019-Oct-08 10:53:23,50566879
2019-Oct-08 10:53:46,50566885
2019-Oct-08 10:53:57,50566888
2019-Oct-08 10:54:09,50566891
2019-Oct-08 10:54:15,50566892
2019-Oct-08 10:54:21,50566894
2019-Oct-08 10:54:29,50566896
2019-Oct-08 10:54:37,50566898
2019-Oct-08 10:54:46,50566900
2019-Oct-08 10:54:51,50566902
2019-Oct-08 13:06:31,50568949
2019-Oct-08 13:06:33,50568950
2019-Oct-08 13:06:35,50568950
2019-Oct-08 13:06:37,50568951
2019-Oct-08 13:06:39,50568951
2019-Oct-08 13:06:41,50568952
2019-Oct-08 13:06:43,50568952
2019-Oct-08 13:06:45,50568953
2019-Oct-08 13:06:46,50568953
2019-Oct-08 13:06:48,50568954
2019-Oct-08 13:06:50,50568954
2019-Oct-08 13:06:51,50568954
2019-Oct-08 13:06:53,50568955
2019-Oct-08 13:06:55,50568955
2019-Oct-08 13:06:57,50568956
2019-Oct-08 13:06:59,50568956
2019-Oct-08 13:07:01,50568957
2019-Oct-08 13:07:03,50568957
2019-Oct-08 13:07:05,50568958
2019-Oct-08 13:07:06,50568958
2019-Oct-08 13:07:08,50568959
2019-Oct-08 13:07:10,50568959
2019-Oct-08 13:07:13,50568960
2019-Oct-08 13:07:15,50568960
2019-Oct-08 13:07:16,50568961
2019-Oct-08 13:07:18,50568961
2019-Oct-08 13:07:20,50568962
2019-Oct-08 13:07:22,50568962
2019-Oct-08 13:07:24,50568963
2019-Oct-08 13:07:26,50568963
2019-Oct-08 13:07:28,50568963
2019-Oct-08 13:07:30,50568964
2019-Oct-08 13:07:32,50568965
2019-Oct-08 13:07:34,50568965
2019-Oct-08 13:07:35,50568965
2019-Oct-08 13:07:38,50568966
2019-Oct-08 13:07:40,50568967
2019-Oct-08 13:07:41,50568967
2019-Oct-08 13:07:43,50568968
2019-Oct-08 13:07:45,50568968
2019-Oct-08 13:07:47,50568968
2019-Oct-08 13:07:49,50568969
2019-Oct-08 13:07:51,50568969
